scenario,sim_id,seed,n,tau_true,dgp,dgp_label,learner,learner_label,strategy,N,M,tau_hat,se,se_iid,se_cr,covers,covers_iid,covers_cr,bias
balkus_original__earth_exact__N20__no_cf,0,7691,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0622745257103474,0.10371481042019508,0.10371481042019508,0.08358487507748093,1,1,1,0.017274525710347488
balkus_original__earth_exact__N20__no_cf,1,7692,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0533943619699138,0.10860713094029946,0.10860713094029946,0.1349536069347347,1,1,1,0.008394361969913833
balkus_original__earth_exact__N20__no_cf,2,7693,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.333750522020067,0.11271638524958008,0.11271638524958008,0.11058447341777818,0,0,0,0.288750522020067
balkus_original__earth_exact__N20__no_cf,3,7694,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1737931637542947,0.08646278133599503,0.08646278133599503,0.04560095621041539,1,1,0,0.12879316375429473
balkus_original__earth_exact__N20__no_cf,4,7695,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1135116798558744,0.09814874504716872,0.09814874504716872,0.13536818093302397,1,1,1,0.06851167985587447
balkus_original__earth_exact__N20__no_cf,5,7696,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0384591656300473,0.12089236583409331,0.12089236583409331,0.0977648400460985,1,1,1,-0.006540834369952675
balkus_original__earth_exact__N20__no_cf,6,7697,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1534795993118594,0.1002257542694462,0.1002257542694462,0.08200818545064514,1,1,1,0.10847959931185946
balkus_original__earth_exact__N20__no_cf,7,7698,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.12122474903656,0.10233561118722609,0.10233561118722609,0.11299714818530135,1,1,1,0.07622474903656018
balkus_original__earth_exact__N20__no_cf,8,7699,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9483098203054263,0.1227286868350949,0.1227286868350949,0.11851543900123893,1,1,1,-0.09669017969457361
balkus_original__earth_exact__N20__no_cf,9,7700,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.21663484863,0.1006612517182178,0.1006612517182178,0.057793528951161896,1,1,0,0.17163484863000011
balkus_original__earth_exact__N20__no_cf,10,7701,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9791407189525678,0.10320997399728866,0.10320997399728866,0.12986271694136264,1,1,1,-0.0658592810474321
balkus_original__earth_exact__N20__no_cf,11,7702,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9383469193412185,0.10075912807006075,0.10075912807006075,0.056267053241221145,1,1,1,-0.10665308065878143
balkus_original__earth_exact__N20__no_cf,12,7703,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1893494783428327,0.10310933883220572,0.10310933883220572,0.12754465868052392,1,1,1,0.14434947834283274
balkus_original__earth_exact__N20__no_cf,13,7704,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0763982393460079,0.09989826134929791,0.09989826134929791,0.10666203630679182,1,1,1,0.03139823934600794
balkus_original__earth_exact__N20__no_cf,14,7705,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0587067981207656,0.09572221143829514,0.09572221143829514,0.11952809327121021,1,1,1,0.013706798120765695
balkus_original__earth_exact__N20__no_cf,15,7706,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9923819679354081,0.11448005842806744,0.11448005842806744,0.08278041196259557,1,1,1,-0.05261803206459181
balkus_original__earth_exact__N20__no_cf,16,7707,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.8811504141119744,0.09581669842057688,0.09581669842057688,0.12329813564033859,1,1,1,-0.16384958588802556
balkus_original__earth_exact__N20__no_cf,17,7708,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0597683167485734,0.11017177049153673,0.11017177049153673,0.09829893662615871,1,1,1,0.014768316748573485
balkus_original__earth_exact__N20__no_cf,18,7709,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9312076565709902,0.1007812301432294,0.1007812301432294,0.13916660027476885,1,1,1,-0.11379234342900968
balkus_original__earth_exact__N20__no_cf,19,7710,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.2196031125037603,0.09784165505013431,0.09784165505013431,0.042342001365281795,1,1,0,0.17460311250376037
balkus_original__earth_exact__N20__no_cf,20,7711,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.2325193888626245,0.08275145035347176,0.08275145035347176,0.07694377395422755,0,0,0,0.18751938886262454
balkus_original__earth_exact__N20__no_cf,21,7712,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0872364632736622,0.11639385635568929,0.11639385635568929,0.12328588368246789,1,1,1,0.04223646327366226
balkus_original__earth_exact__N20__no_cf,22,7713,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0293269408150723,0.11879198667390448,0.11879198667390448,0.12395192545040769,1,1,1,-0.015673059184927673
balkus_original__earth_exact__N20__no_cf,23,7714,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.2695159260100197,0.10093921898515582,0.10093921898515582,0.12018355057000214,0,0,1,0.2245159260100198
balkus_original__earth_exact__N20__no_cf,24,7715,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1202853418655563,0.10647853554943601,0.10647853554943601,0.08758256004595731,1,1,1,0.07528534186555635
balkus_original__earth_exact__N20__no_cf,25,7716,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1034214884754885,0.08811424731515898,0.08811424731515898,0.10358087660816,1,1,1,0.05842148847548856
balkus_original__earth_exact__N20__no_cf,26,7717,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0589753366712629,0.11280725704143064,0.11280725704143064,0.11625991381961436,1,1,1,0.013975336671262939
balkus_original__earth_exact__N20__no_cf,27,7718,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0395360696296465,0.08883789913066695,0.08883789913066695,0.13472235529695475,1,1,1,-0.00546393037035342
balkus_original__earth_exact__N20__no_cf,28,7719,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.209543795633888,0.10041416083708972,0.10041416083708972,0.09871861406252466,1,1,1,0.164543795633888
balkus_original__earth_exact__N20__no_cf,29,7720,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.015156647816379,0.11127632797521998,0.11127632797521998,0.10849146513828699,1,1,1,-0.029843352183620997
balkus_original__earth_exact__N20__no_cf,30,7721,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0842042258671287,0.09394557171682652,0.09394557171682652,0.1226387990385176,1,1,1,0.039204225867128795
