scenario,sim_id,seed,n,tau_true,dgp,dgp_label,learner,learner_label,strategy,N,M,tau_hat,se,se_iid,se_cr,covers,covers_iid,covers_cr,bias
balkus_fullgrid__deep_rf__N20_M20__no_cf,0,7691,400,0.7292158524121158,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.35693884166389767,0.049771071816296655,0.049771071816296655,0.10256929565041764,0,0,0,-0.3722770107482182
balkus_fullgrid__deep_rf__N20_M20__no_cf,1,7692,400,0.9936055846440982,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.6724408011288223,0.05291442786085796,0.05291442786085796,0.05972670800186017,0,0,0,-0.3211647835152759
balkus_fullgrid__deep_rf__N20_M20__no_cf,2,7693,400,1.0376741200497517,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.49959452522592185,0.04439321623816593,0.04439321623816593,0.08675490004544062,0,0,0,-0.5380795948238298
balkus_fullgrid__deep_rf__N20_M20__no_cf,3,7694,400,0.989335720287599,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.37574080541567,0.050074206510026954,0.050074206510026954,0.09059900362572772,0,0,0,-0.613594914871929
balkus_fullgrid__deep_rf__N20_M20__no_cf,4,7695,400,0.8039099699893033,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.4603971200817697,0.0382820713808583,0.0382820713808583,0.07104124721772113,0,0,0,-0.3435128499075336
balkus_fullgrid__deep_rf__N20_M20__no_cf,5,7696,400,0.9755552875733859,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.7969485419712972,0.05198703827678156,0.05198703827678156,0.06698709896452196,0,0,0,-0.17860674560208878
balkus_fullgrid__deep_rf__N20_M20__no_cf,6,7697,400,0.9905750489098629,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5541876437059345,0.048818198815982455,0.048818198815982455,0.04542791022601369,0,0,0,-0.4363874052039284
balkus_fullgrid__deep_rf__N20_M20__no_cf,7,7698,400,0.8750455001845617,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5374140337162473,0.050759415371973905,0.050759415371973905,0.057487782568102115,0,0,0,-0.33763146646831443
balkus_fullgrid__deep_rf__N20_M20__no_cf,8,7699,400,0.9956518197992943,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5060393802010654,0.03871875723271549,0.03871875723271549,0.035773916042917894,0,0,0,-0.48961243959822887
balkus_fullgrid__deep_rf__N20_M20__no_cf,9,7700,400,1.007086876181613,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.26443713584140044,0.050942504168150674,0.050942504168150674,0.09292587951342379,0,0,0,-0.7426497403402126
balkus_fullgrid__deep_rf__N20_M20__no_cf,10,7701,400,1.0600944150181,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5335807202135179,0.039676675455213396,0.039676675455213396,0.05388937000834517,0,0,0,-0.5265136948045821
balkus_fullgrid__deep_rf__N20_M20__no_cf,11,7702,400,1.1028251432004896,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.4809671179533563,0.04599456263365019,0.04599456263365019,0.06443603481852221,0,0,0,-0.6218580252471333
balkus_fullgrid__deep_rf__N20_M20__no_cf,12,7703,400,0.9864196767981622,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.4304402148884013,0.053144720509191314,0.053144720509191314,0.07892760021301634,0,0,0,-0.5559794619097609
balkus_fullgrid__deep_rf__N20_M20__no_cf,13,7704,400,0.9686979876557021,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.4793614845711833,0.05215097718336249,0.05215097718336249,0.10121382631206405,0,0,0,-0.4893365030845188
balkus_fullgrid__deep_rf__N20_M20__no_cf,14,7705,400,1.0455686796521388,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.3049619544180104,0.04191105934173171,0.04191105934173171,0.05214687006281305,0,0,0,-0.7406067252341284
balkus_fullgrid__deep_rf__N20_M20__no_cf,15,7706,400,0.9980357307432078,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5493910704291645,0.04802996794551846,0.04802996794551846,0.08336311141424811,0,0,0,-0.4486446603140434
balkus_fullgrid__deep_rf__N20_M20__no_cf,16,7707,400,0.9743790182624325,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.524853676574445,0.042152741956554954,0.042152741956554954,0.0559169281274927,0,0,0,-0.4495253416879874
balkus_fullgrid__deep_rf__N20_M20__no_cf,17,7708,400,0.9435493091507056,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.6591256027178918,0.04643293353530132,0.04643293353530132,0.075868941285842,0,0,0,-0.2844237064328138
balkus_fullgrid__deep_rf__N20_M20__no_cf,18,7709,400,0.9863322972903589,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.3203582055267913,0.05087788787442512,0.05087788787442512,0.08991979227993063,0,0,0,-0.6659740917635676
balkus_fullgrid__deep_rf__N20_M20__no_cf,19,7710,400,1.113073449982026,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.7352094189368007,0.04227907429556423,0.04227907429556423,0.07902027178793843,0,0,0,-0.37786403104522537
balkus_fullgrid__deep_rf__N20_M20__no_cf,20,7711,400,0.9700440918376949,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.29079166989710437,0.05772817492095751,0.05772817492095751,0.0679399368721011,0,0,0,-0.6792524219405905
balkus_fullgrid__deep_rf__N20_M20__no_cf,21,7712,400,0.9831083126616512,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.39109088358441874,0.06493778325149878,0.06493778325149878,0.07254560362370181,0,0,0,-0.5920174290772324
balkus_fullgrid__deep_rf__N20_M20__no_cf,22,7713,400,0.9803641995676909,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.663216818242057,0.04984849543490693,0.04984849543490693,0.09096659470877046,0,0,0,-0.3171473813256339
balkus_fullgrid__deep_rf__N20_M20__no_cf,23,7714,400,1.2163765864122744,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5276732175163579,0.04653440932580241,0.04653440932580241,0.09459451094190202,0,0,0,-0.6887033688959165
balkus_fullgrid__deep_rf__N20_M20__no_cf,24,7715,400,0.9869209255237331,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.40786385922442064,0.05350813707402722,0.05350813707402722,0.07457976166318457,0,0,0,-0.5790570662993124
balkus_fullgrid__deep_rf__N20_M20__no_cf,25,7716,400,0.8719987196372233,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.41540779576629383,0.05081937333613976,0.05081937333613976,0.07346530398017811,0,0,0,-0.4565909238709295
balkus_fullgrid__deep_rf__N20_M20__no_cf,26,7717,400,0.9392162563919567,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.44918651831373546,0.036118074167346276,0.036118074167346276,0.028103761823935616,0,0,0,-0.49002973807822126
balkus_fullgrid__deep_rf__N20_M20__no_cf,27,7718,400,0.9909773585671838,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5279961272689033,0.050135501300125285,0.050135501300125285,0.04013742555474921,0,0,0,-0.4629812312982805
balkus_fullgrid__deep_rf__N20_M20__no_cf,28,7719,400,1.0284675934920964,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.3319207960957799,0.05170666505179072,0.05170666505179072,0.03234100761984552,0,0,0,-0.6965467973963164
balkus_fullgrid__deep_rf__N20_M20__no_cf,29,7720,400,1.006485799164296,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.40133395588787807,0.04657530795774949,0.04657530795774949,0.08660040590041782,0,0,0,-0.6051518432764178
balkus_fullgrid__deep_rf__N20_M20__no_cf,30,7721,400,1.064972308367542,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.6537006983101117,0.04542307527501484,0.04542307527501484,0.07780743653001466,0,0,0,-0.4112716100574303
balkus_fullgrid__deep_rf__N20_M20__no_cf,31,7722,400,1.0065836010138631,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.3577948833444615,0.053746612772677525,0.053746612772677525,0.050879129043398884,0,0,0,-0.6487887176694016
balkus_fullgrid__deep_rf__N20_M20__no_cf,32,7723,400,0.9096632335885644,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.3956465658813134,0.04050606970717112,0.04050606970717112,0.07012447798321235,0,0,0,-0.514016667707251
balkus_fullgrid__deep_rf__N20_M20__no_cf,33,7724,400,1.0489595061664967,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.288416304661188,0.0455022526701075,0.0455022526701075,0.07145276798993709,0,0,0,-0.7605432015053086
balkus_fullgrid__deep_rf__N20_M20__no_cf,34,7725,400,0.7041908178424656,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.2664655259907197,0.04778580749596061,0.04778580749596061,0.10299208032340317,0,0,0,-0.4377252918517459
