dgp,learner,strategy,n,rel_se_iid,cov_iid,rel_se_cr,cov_cr
balkus_adversarial,deep_rf,as_iid,2000,0.9615836772647229,0.61,0.9862325770611383,0.63
balkus_adversarial,deep_rf,as_iid,4000,0.9944913639006707,0.655,1.0098617595885508,0.66
balkus_adversarial,deep_rf,as_iid,10000,1.0542779861193485,0.625,1.0792251782892492,0.605
balkus_adversarial,deep_rf,chiang,2000,0.9526054618017221,0.535,0.9551896594314698,0.54
balkus_adversarial,deep_rf,chiang,4000,1.0467902702777536,0.455,1.0890543748168002,0.48
balkus_adversarial,deep_rf,chiang,10000,1.0137538392672454,0.405,1.0427868972984917,0.41
balkus_adversarial,deep_rf,no_cf,2000,0.40807670979519295,0.09,0.5553173687779797,0.14
balkus_adversarial,deep_rf,no_cf,4000,0.4709043639515331,0.285,0.5748032317995794,0.375
balkus_adversarial,deep_rf,no_cf,10000,0.5429037191433459,0.685,0.6171400460161478,0.765
balkus_extreme,deep_rf,as_iid,2000,1.0704327520930383,0.97,1.0720350042763036,0.98
balkus_extreme,deep_rf,as_iid,4000,1.0328782678063078,0.965,1.0280821619699831,0.97
balkus_extreme,deep_rf,as_iid,10000,0.9901931173513165,0.975,0.9863357839207068,0.975
balkus_extreme,deep_rf,chiang,2000,0.9877434213260949,0.945,0.9942339273285846,0.98
balkus_extreme,deep_rf,chiang,4000,1.0271319047872716,0.955,1.0276197655527504,0.97
balkus_extreme,deep_rf,chiang,10000,0.9690911207331127,0.96,0.9885579334748417,0.96
balkus_extreme,deep_rf,no_cf,2000,0.460362574423485,0.0,0.7425310757114902,0.0
balkus_extreme,deep_rf,no_cf,4000,0.508398789835216,0.0,0.7319478706893651,0.005
balkus_extreme,deep_rf,no_cf,10000,0.6408353227575848,0.14,0.7959250345071691,0.245
balkus_nocompress,deep_rf,as_iid,400,0.9942341808223405,0.88,0.958974611483137,0.865
balkus_nocompress,deep_rf,as_iid,900,0.962719378111075,0.925,0.929320481593272,0.92
balkus_nocompress,deep_rf,as_iid,2500,0.9356653958243563,0.935,0.9648208806436429,0.97
balkus_nocompress,deep_rf,chiang,400,0.8602125123891141,0.86,0.8317884261820562,0.845
balkus_nocompress,deep_rf,chiang,900,0.9058383980132925,0.945,0.905336315437281,0.935
balkus_nocompress,deep_rf,chiang,2500,0.9129993772041578,0.94,0.9126120851407235,0.965
balkus_nocompress,deep_rf,no_cf,400,0.24235154750940394,0.37,0.4085826344797436,0.55
balkus_nocompress,deep_rf,no_cf,900,0.25227567101316944,0.385,0.4887289115183283,0.645
balkus_nocompress,deep_rf,no_cf,2500,0.23232820780338378,0.345,0.5419617293910011,0.685
balkus_nocompress,earth_exact,as_iid,900,0.8119912774808478,1.0,0.7994153274978848,1.0
balkus_nocompress,earth_exact,as_iid,2500,0.9479382867367167,0.845,0.9760515514714739,0.93
balkus_nocompress,earth_exact,chiang,900,0.6691614956393767,0.9099099099099099,0.8599167370547305,0.918918918918919
balkus_nocompress,earth_exact,chiang,2500,0.8106381668447751,0.905,0.7981820628642542,0.945
balkus_nocompress,earth_exact,no_cf,2500,0.6421587937569851,0.7208121827411168,0.8889957375667279,0.8984771573604061
balkus_nocompress,lasso,as_iid,400,0.9846432305326323,0.91,0.952477889266984,0.915
balkus_nocompress,lasso,as_iid,900,0.9787171372782767,0.945,1.0058688930660074,0.95
balkus_nocompress,lasso,as_iid,2500,0.9112355680707888,0.815,0.9981496288856281,0.925
balkus_nocompress,lasso,chiang,400,1.0449265815958235,0.945,1.0501531195574307,0.925
balkus_nocompress,lasso,chiang,900,0.9334110251989991,0.935,0.9686729956581471,0.955
balkus_nocompress,lasso,chiang,2500,0.738495371091906,0.82,0.9335542638184117,0.915
balkus_nocompress,lasso,no_cf,400,0.9345104525784197,0.83,0.9458042588818864,0.87
balkus_nocompress,lasso,no_cf,900,0.8183799427838695,0.885,0.941009507194386,0.935
balkus_nocompress,lasso,no_cf,2500,0.7362861071039798,0.785,0.9291798225832255,0.9
shared_effects,deep_rf,as_iid,400,1.0102439546936162,0.96,0.9480426319553547,0.94
shared_effects,deep_rf,as_iid,900,0.9988320753353265,0.975,0.9646903513554604,0.945
shared_effects,deep_rf,as_iid,2500,0.8836922299669618,0.91,0.891612421170392,0.88
shared_effects,deep_rf,chiang,400,0.9327616814170915,0.925,0.8985782873841596,0.965
shared_effects,deep_rf,chiang,900,1.0511981415210416,0.965,1.0227374422836186,0.98
shared_effects,deep_rf,chiang,2500,1.0281504366723742,0.92,1.0314111321095871,0.92
shared_effects,deep_rf,no_cf,400,0.30964065761000703,0.01,0.4407173270650504,0.02
shared_effects,deep_rf,no_cf,900,0.32021514226233205,0.0,0.5037345964697879,0.0
shared_effects,deep_rf,no_cf,2500,0.287376598065412,0.0,0.5373875575605513,0.005
shared_effects,earth_exact,as_iid,400,0.9000035808681178,0.955,0.9205965149818202,0.935
shared_effects,earth_exact,as_iid,900,0.8891854402544173,0.97,0.8920756607064424,0.95
shared_effects,earth_exact,as_iid,2500,0.9480122342366194,0.97,0.9262337014340405,0.955
shared_effects,earth_exact,chiang,400,0.637130399219064,0.95,0.8107832036339059,0.94
shared_effects,earth_exact,chiang,900,0.9018884965418202,0.96,0.8869815578015812,0.945
shared_effects,earth_exact,chiang,2500,0.7451103772703792,0.975,0.8223141074582697,0.98
