strategy,n,n_reps,bias,bias_mcse,emp_se,emp_se_mcse,mod_se,mod_se_mcse,rel_se,rel_se_mcse,mse,rmse,coverage,coverage_mcse,mean_ci_length,se_noack_cr,cov_noack_cr
as_iid,625,210,0.00047560628913082285,0.0038822160709202722,0.05625865569381696,0.002751700796573766,0.042125590184449176,0.0006210075034848526,0.7487841588983958,0.038251552823098306,0.0031652625418177043,0.05626066602714284,0.8428571428571429,0.02511392893650442,0.16513231352304075,,
as_iid,2500,210,-0.006357587353653701,0.0022171368478492346,0.03212936536004215,0.0015714986283320344,0.027086895830676937,0.00024365078287403704,0.8430572943829041,0.04192680210711075,0.0010727150353984137,0.032752328701916966,0.8666666666666667,0.023457718351633225,0.10618063165625359,,
as_iid,5625,210,0.0023782779241925127,0.0018441314521194044,0.026724003642159697,0.001307113744594025,0.023063341247839077,0.000187492604626174,0.8630196865957026,0.0427907465219479,0.0007198285765508662,0.026829621252467694,0.9,0.020701966780270625,0.09040829769152918,,
as_iid,10000,210,0.0009418651156349571,0.0016141065819091673,0.023390626586949823,0.0011440729434056345,0.020484633499201484,0.0001359478595563255,0.8757624949914912,0.04322745098706673,0.0005480085220261739,0.02340958184218962,0.9142857142857143,0.01931781153665181,0.08029976331686982,,
chiang_k2,625,210,0.02415990109768594,0.007688606565136757,0.11141849438862224,0.0054496566969323606,0.05827484297504179,0.0010715020264134528,0.523026659934768,0.027329971446879885,0.012997781712877412,0.11400781426234524,0.7095238095238096,0.031327743162117075,0.22843738446216383,,
chiang_k2,2500,210,-0.007953299479133102,0.0033702050697935527,0.04883891137829604,0.0023887892393813946,0.03593873333041997,0.00037661236611761845,0.7358627028363925,0.03680902628279769,0.002448494237221833,0.049482261844239026,0.8523809523809524,0.024478140335437968,0.14087983465524628,,
chiang_k2,5625,210,0.002087845871162436,0.00262860684084221,0.03809213204825528,0.001863147080350465,0.028725681815919352,0.0002413823015538925,0.7541106331231219,0.03742512979892322,0.0014553696243634472,0.03814930699715851,0.819047619047619,0.026566055747894078,0.11260467271840385,,
chiang_k2,10000,210,0.001788480322791258,0.0022486554234944956,0.032586112914220894,0.0015938388814569398,0.024630734880395706,0.0001644156349284531,0.755866001730038,0.03731332416201503,0.0010650534167233653,0.03263515614675936,0.8428571428571429,0.02511392893650442,0.09655248073115116,,
no_cf,625,210,2.8922253418438095e-05,0.003620387359059098,0.052464397187267205,0.0025661175467410254,0.04140866179504863,0.0006272700616226068,0.7892716587830778,0.04041359866469954,0.002752513808720074,0.052464405159308475,0.861904761904762,0.023807256127837677,0.16232195423659063,,
no_cf,2500,210,-0.006455103273266368,0.002204139127817279,0.031941010502217586,0.0015622858910932496,0.027250955555900673,0.00023971593521266582,0.8531651042789866,0.042399170872519786,0.0010618965101713083,0.0325867535997575,0.861904761904762,0.023807256127837677,0.10682374577913063,,
no_cf,5625,210,0.0021329323546277084,0.0018407920134920072,0.026675610578889307,0.0013047467624984254,0.023154979110441908,0.00018938962093355578,0.868020585394451,0.04304580600941272,0.0007161376001859688,0.0267607473771935,0.8904761904761904,0.02155042201235245,0.09076751811293228,,
no_cf,10000,210,0.0007682589659615062,0.0016137661113730293,0.02338569270013967,0.00114383161911343,0.020526143718685642,0.00013680085553682716,0.8777222886608379,0.04332751322002693,0.0005474808449041462,0.023398308590668392,0.9095238095238095,0.019795411858151396,0.08046248337724772,,
