scenario,strategy,n_reps,bias,bias_mcse,emp_se,emp_se_mcse,mod_se,mod_se_mcse,rel_se,rel_se_mcse,mse,rmse,coverage,coverage_mcse,mean_ci_length,se_noack_cr,cov_noack_cr
"(25,25), dim=100, K^2=4, Lasso",as_iid,220,0.0022985114690541944,0.0035537697510640656,0.05271092370265531,0.002518625357833385,0.04960434675664963,0.0006572095842090657,0.941063887183423,0.04666236484503306,0.0027837246325605226,0.05276101432459883,0.9272727272727272,0.017508182052053373,0.19444903928606655,,
"(25,25), dim=100, K^2=4, Lasso",chiang_k2,220,0.015323464437179954,0.005075659251707761,0.0752841929270564,0.003597217882572475,0.06016950114801666,0.0007695734301334364,0.7992315359788141,0.03953322238078522,0.005902518267035768,0.07682784825202231,0.8727272727272727,0.022469613841939084,0.2358644445002253,,
"(25,25), dim=100, K^2=4, Lasso",no_cf,220,0.002524237519728659,0.004069463043281849,0.06035989132975713,0.002884107168312355,0.05120518352682115,0.0006848489886829187,0.8483312742741346,0.042092835397091515,0.0036496882563960957,0.06041264980445814,0.8818181818181818,0.021764741716097727,0.2007243194251389,,
"(25,25), dim=100, K^2=9, Lasso",as_iid,220,0.0005845203526433814,0.0035276010131869615,0.05232277859414854,0.002500079067157115,0.049077887951254826,0.0006494843539243302,0.9379832124730355,0.046505781691726915,0.0027380148238549435,0.05232604345691487,0.9136363636363637,0.018938291978961314,0.1923853207689189,,
"(25,25), dim=100, K^2=9, Lasso",chiang_k2,220,0.011853008239900865,0.004546571748370174,0.06743655704346954,0.003222243335608704,0.059712574532517326,0.0007658373286410655,0.8854629766170692,0.04380667127631426,0.004688183030212279,0.06847030765384568,0.9090909090909091,0.019381883305055497,0.23407329216746792,,
"(25,25), dim=100, K^2=9, Lasso",no_cf,220,0.002524237519728659,0.004069463043281849,0.06035989132975713,0.002884107168312355,0.05120518352682115,0.0006848489886829187,0.8483312742741346,0.042092835397091515,0.0036496882563960957,0.06041264980445814,0.8818181818181818,0.021764741716097727,0.2007243194251389,,
"(25,25), dim=200, K^2=4, Lasso",as_iid,220,-0.00859915456683546,0.003783459381039222,0.05611777147530195,0.0026814108411398322,0.04882179129528091,0.0006966508463930355,0.869988062814788,0.043383687071459995,0.0032231497346185403,0.05677279044241652,0.8863636363636364,0.02139701981116527,0.19138142187750115,,
"(25,25), dim=200, K^2=4, Lasso",chiang_k2,220,0.22860041576354811,0.00263249377567899,0.03904619271295855,0.0018656992552143897,0.04144966922601519,0.0005374328082221118,1.0615546957606183,0.05255735669549262,0.05378275525264455,0.23191109342298516,0.0,0.0,0.16248270336597953,,
"(25,25), dim=200, K^2=4, Lasso",no_cf,220,-0.004400983838198624,0.004698613700851969,0.06969170363941066,0.0033299984080526882,0.05066441265624284,0.0007507134604826975,0.7269791095706851,0.03636828465577651,0.00487630221490753,0.06983052495082312,0.8227272727272728,0.02574764838670766,0.19860449761247193,,
"(25,25), dim=200, K^2=9, Lasso",as_iid,220,-0.008725011098860312,0.0035815837597230546,0.05312347212052903,0.002538337683734789,0.048015679513891074,0.0006880908986502799,0.903850550373493,0.04508818920266074,0.0028982291088158604,0.05383520324857946,0.8863636363636364,0.02139701981116527,0.188221463694453,,
"(25,25), dim=200, K^2=9, Lasso",no_cf,220,-0.004400983838198624,0.004698613700851969,0.06969170363941066,0.0033299984080526882,0.05066441265624284,0.0007507134604826975,0.7269791095706851,0.03636828465577651,0.00487630221490753,0.06983052495082312,0.8227272727272728,0.02574764838670766,0.19860449761247193,,
"(50,50), dim=100, K^2=4, Lasso",as_iid,220,-0.004682074200015625,0.002254771759041744,0.03344366981630282,0.00159800035631142,0.030952556278022524,0.0002594411103499661,0.9255131523554885,0.04489798905696271,0.0011404008695963363,0.033769821876881975,0.9227272727272727,0.018002733743487907,0.1213340206098483,,
"(50,50), dim=100, K^2=4, Lasso",chiang_k2,220,-0.00027206929085428234,0.003035660715298126,0.045026124808259405,0.0021514314631777224,0.037950246408475385,0.000330462969902255,0.8428494917136184,0.040936209087263004,0.002027425936947979,0.04502694678687396,0.9090909090909091,0.019381883305055497,0.1487649659212235,,
"(50,50), dim=100, K^2=4, Lasso",no_cf,220,-0.005469366123811144,0.00248741388718904,0.0368943102139042,0.0017628783321782195,0.033392294497623466,0.0002912172664438021,0.905079788835273,0.04396082071878064,0.0013911040919560886,0.03729750785181349,0.9136363636363637,0.018938291978961314,0.13089779443068397,,
"(50,50), dim=200, K^2=4, Lasso",as_iid,220,-0.0005087388831385761,0.0021881873274151595,0.032456063094116416,0.0015508106817745636,0.027923059252229796,0.00023142633266345935,0.8603341437702481,0.04172217885833041,0.0010536548468204829,0.03246005001259984,0.9272727272727272,0.017508182052053373,0.1094583922687408,,
"(50,50), dim=200, K^2=4, Lasso",chiang_k2,220,0.0029014717560603112,0.0030527082872338056,0.04527898116265548,0.0021635134071342306,0.0378052552818015,0.00032774104292158235,0.834940502437408,0.040546312600882026,0.0020586046734793256,0.04537184890964138,0.9045454545454545,0.019810806877080037,0.1481966007046619,,
"(50,50), dim=200, K^2=4, Lasso",no_cf,220,-0.0002578298330554959,0.0026058152951904186,0.03865048689968384,0.001846791700090184,0.031173653802689206,0.00028221001754952615,0.8065526802702246,0.0392241659844952,0.0014939266138054455,0.03865134685629267,0.8681818181818182,0.022807708900155446,0.12220072290654169,,
