scenario,strategy,n_reps,bias,bias_mcse,emp_se,emp_se_mcse,mod_se,mod_se_mcse,rel_se,rel_se_mcse,mse,rmse,coverage,coverage_mcse,mean_ci_length,se_noack_cr,cov_noack_cr
"(25,25), dim=100, K^2=4, Lasso",as_iid,220,0.0022985114690541944,0.0035537697510640656,0.05271092370265531,0.002518625357833385,0.040943880181035806,0.0002401684466785292,0.7767627145371626,0.03739378454494353,0.0027837246325605226,0.05276101432459883,0.8590909090909091,0.023457284099193856,0.16050001030966035,,
"(25,25), dim=100, K^2=4, Lasso",chiang_k2,220,0.015323464437179954,0.005075659251707761,0.0752841929270564,0.003597217882572475,0.04090266716725466,0.00031819510740301895,0.5433101634879138,0.026302177025472946,0.005902518267035768,0.07682784825202231,0.6681818181818182,0.03174578540624493,0.16033845529563825,,
"(25,25), dim=100, K^2=4, Lasso",no_cf,220,0.002524237519728659,0.004069463043281849,0.06035989132975713,0.002884107168312355,0.04064096361024377,0.0002496410594895084,0.6733107484938093,0.0324367865055932,0.0036496882563960957,0.06041264980445814,0.8,0.02696799449852968,0.15931257735215557,,
"(25,25), dim=100, K^2=9, Lasso",as_iid,220,0.0005845203526433814,0.0035276010131869615,0.05232277859414854,0.002500079067157115,0.040871318524787106,0.00024167219853404054,0.781138150972699,0.037608931347256035,0.0027380148238549435,0.05232604345691487,0.8772727272727273,0.022122108363292703,0.16021556861716546,,
"(25,25), dim=100, K^2=9, Lasso",chiang_k2,220,0.011853008239900865,0.004546571748370174,0.06743655704346954,0.003222243335608704,0.04069586428672647,0.00030241234715011183,0.6034688909235676,0.029181482408323703,0.004688183030212279,0.06847030765384568,0.740909090909091,0.02953909658227668,0.15952778800396775,,
"(25,25), dim=100, K^2=9, Lasso",no_cf,220,0.002524237519728659,0.004069463043281849,0.06035989132975713,0.002884107168312355,0.04064096361024377,0.0002496410594895084,0.6733107484938093,0.0324367865055932,0.0036496882563960957,0.06041264980445814,0.8,0.02696799449852968,0.15931257735215557,,
"(25,25), dim=200, K^2=4, Lasso",as_iid,220,-0.00859915456683546,0.003783459381039222,0.05611777147530195,0.0026814108411398322,0.041823030099088304,0.0002454363532892487,0.7452724689449773,0.03587806784194307,0.0032231497346185403,0.05677279044241652,0.8409090909090909,0.0246595907707268,0.16394627798842615,,
"(25,25), dim=200, K^2=4, Lasso",chiang_k2,220,0.22860041576354811,0.00263249377567899,0.03904619271295855,0.0018656992552143897,0.027442713664198915,0.00016804805516788847,0.7028268765136556,0.033857027490375495,0.05378275525264455,0.23191109342298516,0.0,0.0,0.10757543756365974,,
"(25,25), dim=200, K^2=4, Lasso",no_cf,220,-0.004400983838198624,0.004698613700851969,0.06969170363941066,0.0033299984080526882,0.04159630545702756,0.0002882463382839267,0.5968616533217428,0.028817507756453083,0.00487630221490753,0.06983052495082312,0.7772727272727272,0.028051886560341893,0.16305751739154803,,
"(25,25), dim=200, K^2=9, Lasso",as_iid,220,-0.008725011098860312,0.0035815837597230546,0.05312347212052903,0.002538337683734789,0.041890666152231706,0.00024264441113133357,0.7885528652417183,0.03795435326984281,0.0028982291088158604,0.05383520324857946,0.85,0.024073750321573384,0.1642114113167483,,
"(25,25), dim=200, K^2=9, Lasso",no_cf,220,-0.004400983838198624,0.004698613700851969,0.06969170363941066,0.0033299984080526882,0.04159630545702756,0.0002882463382839267,0.5968616533217428,0.028817507756453083,0.00487630221490753,0.06983052495082312,0.7772727272727272,0.028051886560341893,0.16305751739154803,,
"(50,50), dim=100, K^2=4, Lasso",as_iid,220,-0.004682074200015625,0.002254771759041744,0.03344366981630282,0.00159800035631142,0.020260881901436666,8.098996544468048e-05,0.6058211318531818,0.029048373919598604,0.0011404008695963363,0.033769821876881975,0.7454545454545455,0.029368510201149313,0.07942265705363173,,
"(50,50), dim=100, K^2=4, Lasso",chiang_k2,220,-0.00027206929085428234,0.003035660715298126,0.045026124808259405,0.0021514314631777224,0.020353514859433392,9.72907767942778e-05,0.4520378990221212,0.02170701749843396,0.002027425936947979,0.04502694678687396,0.6,0.03302891295379082,0.0797857782489789,,
"(50,50), dim=100, K^2=4, Lasso",no_cf,220,-0.005469366123811144,0.00248741388718904,0.0368943102139042,0.0017628783321782195,0.020216157820103175,8.449348388865513e-05,0.5479478462368541,0.02628193025569299,0.0013911040919560886,0.03729750785181349,0.7136363636363636,0.030477972979919256,0.07924733865480445,,
"(50,50), dim=200, K^2=4, Lasso",as_iid,220,-0.0005087388831385761,0.0021881873274151595,0.032456063094116416,0.0015508106817745636,0.020387709960756863,7.520873900246716e-05,0.6281633697111193,0.03010412372201707,0.0010536548468204829,0.03246005001259984,0.7954545454545454,0.027195137564231787,0.0799198230461669,,
"(50,50), dim=200, K^2=4, Lasso",chiang_k2,220,0.0029014717560603112,0.0030527082872338056,0.04527898116265548,0.0021635134071342306,0.020422473420499555,9.600186199300131e-05,0.4510365051531525,0.02165540119808736,0.0020586046734793256,0.04537184890964138,0.6136363636363636,0.03282784134760007,0.08005609580835825,,
"(50,50), dim=200, K^2=4, Lasso",no_cf,220,-0.0002578298330554959,0.0026058152951904186,0.03865048689968384,0.001846791700090184,0.02031242746621348,8.283120880736477e-05,0.5255413086757165,0.0252026180039054,0.0014939266138054455,0.03865134685629267,0.7045454545454546,0.030760154053343498,0.07962471566755683,,
