scenario,strategy,n_reps,bias,bias_mcse,emp_se,emp_se_mcse,mod_se,mod_se_mcse,rel_se,rel_se_mcse,mse,rmse,coverage,coverage_mcse,mean_ci_length,se_noack_cr,cov_noack_cr
"(25,25), dim=100, K^2=4, Lasso",as_iid,440,0.001209222814087976,0.0026012830223635466,0.054564973008993635,0.0018414786445918139,0.045978762882360844,0.0004871755976067914,0.8426424562655318,0.029806448157118623,0.0029787984992863145,0.05457837025128466,0.8818181818181818,0.015389996458226439,0.18023675049885451,,
"(25,25), dim=100, K^2=4, Lasso",chiang_k2,440,0.019635410610341675,0.00452039020616104,0.09482050490806787,0.003200037042606807,0.05923594817666293,0.0006475482562356148,0.6247166499914176,0.02216163034962332,0.009376477500857643,0.09683221313621641,0.7954545454545454,0.019229866186969306,0.23220491685251868,,
"(25,25), dim=100, K^2=4, Lasso",no_cf,440,0.0010629068990742482,0.002701375472122525,0.05666452994783849,0.0019123352592436732,0.04648216772557383,0.0005212235839554927,0.8203044791576344,0.029172093168532462,0.0032119987252855853,0.05667449801529419,0.8704545454545455,0.016008763917423063,0.1822100974842494,,
"(25,25), dim=100, K^2=9, Lasso",as_iid,440,0.00017091419313401714,0.002542218358765529,0.053326022173077754,0.0017996660791267448,0.045382873287483166,0.00048662002754134036,0.8510455390838289,0.030136208643724443,0.002843693852464995,0.05332629606924706,0.8772727272727273,0.015642692837827907,0.177900863286934,,
"(25,25), dim=100, K^2=9, Lasso",chiang_k2,440,0.0072846668156355925,0.003729464684334495,0.07822991119736239,0.0026401316246323896,0.05739846961959639,0.0005607249099827388,0.7337151319881805,0.025778215017454094,0.006172985376562028,0.07856834843982675,0.85,0.01702271210097637,0.22500200090881783,,
"(25,25), dim=100, K^2=9, Lasso",no_cf,440,0.0010629068990742482,0.002701375472122525,0.05666452994783849,0.0019123352592436732,0.04648216772557383,0.0005212235839554927,0.8203044791576344,0.029172093168532462,0.0032119987252855853,0.05667449801529419,0.8704545454545455,0.016008763917423063,0.1822100974842494,,
"(25,25), dim=200, K^2=4, Lasso",as_iid,440,-0.008929256713997288,0.002765690713995084,0.05801361784280136,0.0019578647704163806,0.04567401925361467,0.0004778983481402442,0.7872982405161644,0.02781772819395686,0.003445311480675066,0.058696775726398004,0.8454545454545455,0.01723244541718756,0.1790421554741695,,
"(25,25), dim=200, K^2=4, Lasso",chiang_k2,440,0.362787892346067,0.006539213216711635,0.13716769363516723,0.004629185439447386,0.02942097710912894,0.0009259474549359275,0.214489114232551,0.009897833298741212,0.1504300310100926,0.38785310493805847,0.0,0.0,0.11533023026778544,,
"(25,25), dim=200, K^2=4, Lasso",no_cf,440,-0.006483378983807391,0.002925031845111991,0.061355985606658406,0.00207066421885559,0.0464100188906955,0.0005237292581018008,0.7564057268710723,0.026916776101928348,0.003806591172812149,0.06169757833831202,0.8409090909090909,0.01743696385526612,0.18192727405152637,,
"(25,25), dim=200, K^2=9, Lasso",as_iid,440,-0.010365017915814827,0.0025761094062291797,0.05403692678215038,0.0018236579476049598,0.045162390055733546,0.00047091252284501303,0.8357690332354671,0.029521421672803257,0.0030274230524546435,0.05502202334024662,0.8613636363636363,0.01647424452082495,0.1770365690184755,,
"(25,25), dim=200, K^2=9, Lasso",chiang_k2,440,0.02209435163720528,0.004522074132743579,0.0948558272500566,0.0032012291139093714,0.05952565022311628,0.0006623459662369583,0.6275381486705738,0.022299811678497587,0.009485788337561056,0.09739501187207206,0.7840909090909091,0.01961518169984557,0.23334054887461583,,
"(25,25), dim=200, K^2=9, Lasso",no_cf,440,-0.006483378983807391,0.002925031845111991,0.061355985606658406,0.00207066421885559,0.0464100188906955,0.0005237292581018008,0.7564057268710723,0.026916776101928348,0.003806591172812149,0.06169757833831202,0.8409090909090909,0.01743696385526612,0.18192727405152637,,
"(50,50), dim=100, K^2=4, Lasso",as_iid,440,-0.005403856805143885,0.0015595483950050215,0.0327133631166165,0.0011040225303895527,0.02909727670562548,0.00020029825770597037,0.8894614901531094,0.03063595286795171,0.001099365794770105,0.033156685521476735,0.8954545454545455,0.014586396408308512,0.11406132468605187,,
"(50,50), dim=100, K^2=4, Lasso",chiang_k2,440,-0.004047971735449354,0.0022309466782512942,0.04679673231891531,0.0015793132196319116,0.0369725638957768,0.00025442675965548796,0.7900672133219103,0.027212135699567343,0.00220632023089921,0.04697148316690894,0.8818181818181818,0.015389996458226439,0.14493245047144504,,
"(50,50), dim=100, K^2=4, Lasso",no_cf,440,-0.005848266443764342,0.0016379861442287747,0.03435868722494498,0.0011595495295217534,0.03048819031592022,0.0002375370495217098,0.8873502679632441,0.030734278840927748,0.0012147216082188572,0.03485285652882497,0.8909090909090909,0.01486225257035635,0.11951370603840726,,
"(50,50), dim=200, K^2=4, Lasso",as_iid,440,0.002086111114475037,0.0015223413035348333,0.03193290058164431,0.001077683195614872,0.025405996587212275,0.0002025478044824643,0.7956056645169329,0.027589420077016213,0.0010240619991391158,0.03200096872188584,0.8772727272727273,0.015642692837827907,0.09959150662187212,,
"(50,50), dim=200, K^2=4, Lasso",chiang_k2,440,0.0032753046299858323,0.0022760224741087327,0.047742250189587165,0.0016112229021792697,0.03589135525762099,0.00024558409937177516,0.7517734316060595,0.025887337683208493,0.0022900500735843427,0.047854467644979005,0.8477272727272728,0.017128242480135024,0.14069411260987427,,
"(50,50), dim=200, K^2=4, Lasso",no_cf,440,0.0018718210127632341,0.0016564747739226037,0.03474650799321356,0.0011726378465008176,0.027200181300711616,0.0002708117799925721,0.782817695119871,0.027544495553295315,0.001210823531626276,0.034796889683221345,0.8545454545454545,0.016807568686130463,0.10662471069878954,,
